"country, country abbreviation, name, role, caps, goals, length, first match, birthday, club, country of club abbreviation"
Cte d'Ivoire,CIV,Yaya TOURE,Midfielder,85,16,189,Cte d'Ivoire - Guinea 28 Apr 2004,13 May 1983,Manchester City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/198106.png
Cte d'Ivoire,CIV,Die SEREY,Midfielder,10,0,179,Cte d'Ivoire - Gambia 23 Mar 2013,07 Nov 1984,FC Basel ,SUI,http://img.fifa.com/images/fwc/2014/players/prt-3/367555.png
Cte d'Ivoire,CIV,Giovanni SIO,Forward,8,0,180,Gambia - Cte d'Ivoire 08 Jun 2013,31 Mar 1989,FC Basel ,SUI,http://img.fifa.com/images/fwc/2014/players/prt-3/332293.png
Cte d'Ivoire,CIV,Souleymane BAMBA,Defender,46,2,190,Israel - Cte d'Ivoire 19 Nov 2008,13 Jan 1985,Trabzonspor ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/207946.png
Cte d'Ivoire,CIV,Sayouba MANDE,Goalkeeper,1,0,193,Belgium - Cte d'Ivoire 05 Mar 2014,15 Jun 1993,Stabaek IF ,NOR,http://img.fifa.com/images/fwc/2014/players/prt-3/380004.png
Ghana,GHA,Stephen ADAMS,Goalkeeper,6,0,186,Ghana - Congo 13 Jan 2014,28 Sep 1989,Aduana Stars ,GHA,http://img.fifa.com/images/fwc/2014/players/prt-3/323574.png
Ghana,GHA,Samuel INKOOM,Defender,46,1,179,Ghana - Tunisia 19 Nov 2008,01 Jun 1989,FC Platanias ,GRE,http://img.fifa.com/images/fwc/2014/players/prt-3/238381.png
Ghana,GHA,Asamoah GYAN,Forward,81,41,180,Ghana - Somalia 19 Nov 2003,22 Nov 1985,Al Ain FC ,UAE,http://img.fifa.com/images/fwc/2014/players/prt-3/208353.png
Ghana,GHA,Daniel OPARE,Defender,17,0,172,England - Ghana 29 Mar 2011,18 Oct 1990,Standard Liege ,BEL,http://img.fifa.com/images/fwc/2014/players/prt-3/269071.png
Ghana,GHA,Michael ESSIEN,Midfielder,58,9,177,Egypt - Ghana 04 Jan 2002,03 Dec 1982,AC Milan ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/175524.png
Ghana,GHA,Acquah AFRIYIE,Midfielder,6,1,179,Chile - Ghana 29 Feb 2012,05 Jan 1992,Parma FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/379972.png
Ghana,GHA,Christian ATSU,Midfielder,26,4,172,Ghana - Lesotho 01 Jun 2012,10 Jan 1992,Vitesse Arnheim ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/355997.png
Ghana,GHA,Emmanuel BADU,Midfielder,50,7,173,Lesotho - Ghana 08 Jun 2008,02 Dec 1990,Udinese Calcio ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/274946.png
Ghana,GHA,Kevin Prince BOATENG,Forward,15,2,186,Ghana - Latvia 05 Jun 2010,06 Mar 1987,FC Schalke 04 ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/196897.png
Ghana,GHA,Andre AYEW,Midfielder,51,6,175,Ghana - Senegal 21 Aug 2007,17 Dec 1989,Olympique Marseille ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/294620.png
Ghana,GHA,Sulley MUNTARI,Midfielder,83,21,179,Slovenia - Ghana 17 May 2002,27 Aug 1984,AC Milan ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/183000.png
Ghana,GHA,Adam KWARASEY,Goalkeeper,22,0,190,Ghana - Swaziland 02 Sep 2011,12 Dec 1987,Stromsgodset IF ,NOR,http://img.fifa.com/images/fwc/2014/players/prt-3/353237.png
Ghana,GHA,Jordan AYEW,Forward,16,5,182,Swaziland - Ghana 05 Sep 2010,11 Sep 1991,FC Sochaux-Montbliard ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/353235.png
Ghana,GHA,Albert ADOMAH,Midfielder,16,1,182,Brazil - Ghana 05 Sep 2011,13 Dec 1987,Middlesbrough FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/364707.png
Ghana,GHA,Rashid SUMAILA,Defender,8,0,182,Liberia - Ghana 11 Sep 2012,18 Dec 1992,Mamelodi Sundowns FC ,RSA,http://img.fifa.com/images/fwc/2014/players/prt-3/370469.png
Ghana,GHA,Fatawu DAUDA,Goalkeeper,20,0,180,Ghana - Mexico 26 Mar 2008,06 Apr 1985,Orlando Pirates ,RSA,http://img.fifa.com/images/fwc/2014/players/prt-3/376071.png
