"country, country abbreviation, name, role, caps, goals, length, first match, birthday, club, country of club abbreviation"
Croatia,CRO,Dejan LOVREN,Defender,28,2,188,Croatia - Qatar 08 Oct 2009,05 Jul 1989,Southampton FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/312432.png
Croatia,CRO,Ivan RAKITIC,Midfielder,65,9,184,Croatia - Estonia 08 Sep 2007,10 Mar 1988,Sevilla FC ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/296633.png
Croatia,CRO,Ognjen VUKOJEVIC,Midfielder,55,4,184,Croatia - Slovakia 16 Oct 2007,20 Dec 1983,FC Dynamo Kyiv ,UKR,http://img.fifa.com/images/fwc/2014/players/prt-3/297377.png
Croatia,CRO,Nikica JELAVIC,Forward,35,6,187,Croatia - Qatar 08 Oct 2009,27 Aug 1985,Hull City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/316117.png
Croatia,CRO,Luka MODRIC,Midfielder,78,8,173,Croatia - Argentina 01 Mar 2006,09 Sep 1985,Real Madrid CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/241559.png
Croatia,CRO,Darijo SRNA,Defender,115,21,182,Romania - Croatia 20 Nov 2002,01 May 1982,Shakhtar Donetsk ,UKR,http://img.fifa.com/images/fwc/2014/players/prt-3/210704.png
Croatia,CRO,Oliver ZELENIKA,Goalkeeper,0,0,192,-,14 May 1993,NK Lokomotiva Zagreb ,CRO,http://img.fifa.com/images/fwc/2014/players/prt-3/369026.png
Croatia,CRO,Gordon SCHILDENFELD,Defender,21,0,191,Croatia - Liechtenstein 14 Nov 2009,18 Mar 1985,Panathinaikos FC ,GRE,http://img.fifa.com/images/fwc/2014/players/prt-3/357990.png
Croatia,CRO,Marcelo BROZOVIC,Midfielder,2,0,180,-,16 Nov 1992,GNK Dinamo Zagreb ,CRO,http://img.fifa.com/images/fwc/2014/players/prt-3/380000.png
Croatia,CRO,Milan BADELJ,Midfielder,9,1,186,Croatia - Wales 23 May 2010,25 Feb 1989,Hamburger SV ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/357991.png
Croatia,CRO,Ante REBIC,Forward,8,1,185,Liechtenstein - Croatia 14 Aug 2013,21 Sep 1993,ACF Fiorentina ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/369058.png
Croatia,CRO,Mario MANDZUKIC,Forward,52,15,188,FYR Macedonia - Croatia 17 Nov 2007,21 May 1986,FC Bayern Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/375518.png
Croatia,CRO,Ivica OLIC,Forward,95,19,183,Croatia - Bulgaria 13 Feb 2002,14 Sep 1979,VfL Wolfsburg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/187258.png
Croatia,CRO,SAMMIR,Midfielder,7,0,178,FYR Macedonia - Croatia 12 Oct 2012,23 Apr 1987,Getafe CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/359375.png
Croatia,CRO,Mateo KOVACIC,Midfielder,13,0,181,Croatia - Serbia 22 Mar 2013,06 May 1994,FC Internazionale ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/339987.png
Croatia,CRO,Domagoj VIDA,Defender,23,1,184,Croatia - Wales 23 May 2010,29 Apr 1989,FC Dynamo Kyiv ,UKR,http://img.fifa.com/images/fwc/2014/players/prt-3/299896.png
Croatia,CRO,EDUARDO,Forward,64,29,177,Republic of Ireland - Croatia 16 Nov 2004,25 Feb 1983,Shakhtar Donetsk ,UKR,http://img.fifa.com/images/fwc/2014/players/prt-3/214384.png
Croatia,CRO,Danijel SUBASIC,Goalkeeper,6,0,191,Croatia - Liechtenstein 14 Nov 2009,27 Oct 1984,AS Monaco ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/299887.png
England,ENG,Joe HART,Goalkeeper,43,0,191,Trinidad and Tobago - England 01 Jun 2008,19 Apr 1987,Manchester City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/299956.png
England,ENG,Glen JOHNSON,Defender,54,1,180,England - Denmark 16 Nov 2003,23 Aug 1984,Liverpool FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/197464.png
England,ENG,Leighton BAINES,Defender,26,1,172,England - Egypt 03 Mar 2010,11 Dec 1984,Everton FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/305768.png
England,ENG,Steven GERRARD,Midfielder,114,21,185,England - Ukraine 31 May 2000,30 May 1980,Liverpool FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/214961.png
England,ENG,Gary CAHILL,Defender,27,3,191,England - Bulgaria 03 Sep 2010,19 Dec 1985,Chelsea FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/305764.png
England,ENG,Phil JAGIELKA,Defender,28,2,183,Trinidad and Tobago - England 01 Jun 2008,17 Aug 1982,Everton FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/299960.png
England,ENG,Jack WILSHERE,Midfielder,20,0,172,England - Hungary 11 Aug 2010,01 Jan 1992,Arsenal FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/330565.png
England,ENG,Frank LAMPARD,Midfielder,106,29,181,England - Belgium 10 Oct 1999,20 Jun 1978,Chelsea FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/185385.png
England,ENG,Daniel STURRIDGE,Forward,15,5,179,England - Sweden 15 Nov 2011,01 Sep 1989,Liverpool FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/306532.png
England,ENG,Wayne ROONEY,Forward,95,40,176,England - Australia 12 Feb 2003,24 Oct 1985,Manchester United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/196842.png
England,ENG,Danny WELBECK,Forward,26,8,184,England - Ghana 29 Mar 2011,26 Nov 1990,Manchester United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/274034.png
England,ENG,Chris SMALLING,Defender,13,0,194,Bulgaria - England 02 Sep 2011,22 Nov 1989,Manchester United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/356748.png
England,ENG,Ben FOSTER,Goalkeeper,8,0,193,England - Spain 07 Feb 2007,03 Apr 1983,West Bromwich Albion FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/253999.png
England,ENG,Jordan HENDERSON,Midfielder,13,0,187,England - France 17 Nov 2010,17 Jun 1990,Liverpool FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/356189.png
England,ENG,Alex OXLADE CHAMBERLAIN,Midfielder,15,3,180,Norway - England 26 May 2012,15 Aug 1993,Arsenal FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/356198.png
England,ENG,Phil JONES,Defender,11,0,185,Montenegro - England 07 Oct 2011,21 Feb 1992,Manchester United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/358009.png
England,ENG,James MILNER,Midfielder,48,1,175,Netherlands - England 12 Aug 2009,04 Jan 1986,Manchester City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/207924.png
England,ENG,Rickie LAMBERT,Forward,7,3,188,England - Scotland 14 Aug 2013,16 Feb 1982,Southampton FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/373224.png
England,ENG,Raheem STERLING,Midfielder,7,0,170,Sweden - England 14 Nov 2012,08 Dec 1994,Liverpool FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/336043.png
England,ENG,Adam LALLANA,Midfielder,9,0,179,England - Chile 15 Nov 2013,10 May 1988,Southampton FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/361222.png
England,ENG,Ross BARKLEY,Midfielder,9,0,185,England - Moldova 06 Sep 2013,05 Dec 1993,Everton FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/369392.png
England,ENG,Fraser FORSTER,Goalkeeper,2,0,201,England - Chile 15 Nov 2013,17 Mar 1988,Celtic FC ,SCO,http://img.fifa.com/images/fwc/2014/players/prt-3/362881.png
England,ENG,Luke SHAW,Defender,3,0,184,England - Denmark 05 Mar 2014,12 Jul 1995,Southampton FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/336450.png
France,FRA,Hugo LLORIS,Goalkeeper,62,0,188,France - Uruguay 19 Nov 2008,26 Dec 1986,Tottenham Hotspur FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/297105.png
France,FRA,Mathieu DEBUCHY,Defender,25,2,178,France - Albania 07 Oct 2011,28 Jul 1985,Newcastle United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/358011.png
France,FRA,Patrice EVRA,Defender,62,0,174,France - Bosnia and Herzegovina 18 Aug 2004,15 May 1981,Manchester United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/212246.png
France,FRA,Raphael VARANE,Defender,11,0,191,France - Georgia 22 Mar 2013,25 Apr 1993,Real Madrid CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/359440.png
France,FRA,Mamadou SAKHO,Defender,23,2,187,England - France 17 Nov 2010,13 Feb 1990,Liverpool FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/274135.png
France,FRA,Yohan CABAYE,Midfielder,34,3,175,Norway - France 11 Aug 2010,14 Jan 1986,Paris Saint-Germain FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/358013.png
France,FRA,Remy CABELLA,Forward,1,0,172,France - Norway 27 May 2014,08 Mar 1990,Montpellier HSC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/359454.png
France,FRA,Mathieu VALBUENA,Midfielder,38,6,166,France - Costa Rica 26 May 2010,28 Sep 1984,Olympique Marseille ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/297106.png
France,FRA,Olivier GIROUD,Forward,35,9,192,France - USA 11 Nov 2011,30 Sep 1986,Arsenal FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/358015.png
France,FRA,Karim BENZEMA,Forward,71,24,184,France - Austria 28 Mar 2007,19 Dec 1987,Real Madrid CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/297103.png
France,FRA,Antoine GRIEZMANN,Forward,9,3,175,France - Netherlands 05 Mar 2014,21 Mar 1991,Real Sociedad ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/336435.png
France,FRA,Antonio MAVUBA,Midfielder,13,0,172,France - Bosnia and Herzegovina 18 Aug 2004,08 Mar 1984,Lille OSC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/214571.png
France,FRA,Eliaquim MANGALA,Defender,3,0,187,Uruguay - France 05 Jun 2013,13 Feb 1991,FC Porto ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/319340.png
France,FRA,Blaise MATUIDI,Midfielder,28,4,179,Bosnia and Herzegovina - France 07 Sep 2010,09 Apr 1987,Paris Saint-Germain FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/358014.png
France,FRA,Bacary SAGNA,Defender,42,0,178,Slovakia - France 22 Aug 2007,14 Feb 1983,Arsenal FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/254141.png
France,FRA,Stephane RUFFIER,Goalkeeper,2,0,188,Norway - France 11 Aug 2010,27 Sep 1986,AS Saint-Etienne ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/359448.png
France,FRA,Lucas DIGNE,Defender,3,0,189,France - Netherlands 05 Mar 2014,20 Jul 1993,Paris Saint-Germain FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/368860.png
France,FRA,Moussa SISSOKO,Midfielder,21,1,188,France - Faroe Islands 10 Oct 2009,16 Aug 1989,Newcastle United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/317056.png
France,FRA,Paul POGBA,Midfielder,16,3,191,France - Georgia 22 Mar 2013,15 Mar 1993,Juventus FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/367388.png
France,FRA,Loic REMY,Forward,27,5,185,France - Nigeria 02 Jun 2009,02 Jan 1987,Newcastle United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/299878.png
France,FRA,Laurent KOSCIELNY,Defender,21,0,185,France - USA 11 Nov 2011,10 Sep 1985,Arsenal FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/358012.png
France,FRA,Morgan SCHNEIDERLIN,Midfielder,2,0,185,France - Jamaica 08 Jun 2014,08 Nov 1989,Southampton FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/379995.png
France,FRA,Mickael LANDREAU,Goalkeeper,11,0,184,France - Mexico 03 Jun 2001,14 May 1979,SC Bastia ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/182021.png
Germany,GER,Manuel NEUER,Goalkeeper,52,0,193,United Arab Emirates - Germany 02 Jun 2009,27 Mar 1986,FC Bayern Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/228912.png
Germany,GER,Kevin GROSSKREUTZ,Defender,5,0,186,Germany - Malta 13 May 2010,19 Jul 1988,Borussia Dortmund ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/358694.png
Germany,GER,Matthias GINTER,Defender,2,0,187,Germany - Chile 05 Mar 2014,19 Jan 1994,SC Freiburg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/379736.png
Germany,GER,Benedikt HOEWEDES,Defender,28,2,187,Germany - Uruguay 29 May 2011,29 Feb 1988,FC Schalke 04 ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/311148.png
Germany,GER,Mats HUMMELS,Defender,36,4,192,Germany - Malta 13 May 2010,16 Dec 1988,Borussia Dortmund ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/311150.png
Germany,GER,Sami KHEDIRA,Midfielder,51,5,189,Germany - South Africa 05 Sep 2009,04 Apr 1987,Real Madrid CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/196900.png
Germany,GER,Bastian SCHWEINSTEIGER,Midfielder,108,23,183,Germany - Hungary 06 Jun 2004,01 Aug 1984,FC Bayern Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/196752.png
Germany,GER,Mesut OEZIL,Midfielder,62,18,180,Germany - Norway 11 Feb 2009,15 Oct 1988,Arsenal FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/305036.png
Germany,GER,Andre SCHUERRLE,Forward,39,16,184,Sweden - Germany 17 Nov 2010,06 Nov 1990,Chelsea FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/306548.png
Germany,GER,Lukas PODOLSKI,Forward,116,47,180,Germany - Hungary 06 Jun 2004,04 Jun 1985,Arsenal FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/196789.png
Germany,GER,Miroslav KLOSE,Forward,137,71,182,Germany - Albania 24 Mar 2001,09 Jun 1978,SS Lazio ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/182206.png
Germany,GER,Ron-Robert ZIELER,Goalkeeper,3,0,187,Ukraine - Germany 11 Nov 2011,12 Feb 1989,Hannover 96 ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/302381.png
Germany,GER,Thomas MUELLER,Forward,56,22,186,Germany - Argentina 03 Mar 2010,13 Sep 1989,FC Bayern Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/321722.png
Germany,GER,Julian DRAXLER,Midfielder,12,1,185,Switzerland - Germany 26 May 2012,20 Sep 1993,FC Schalke 04 ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/358692.png
Germany,GER,Erik DURM,Defender,1,0,183,Germany - Cameroon 01 Jun 2014,12 May 1992,Borussia Dortmund ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/379952.png
Germany,GER,Philipp LAHM,Midfielder,113,5,170,Croatia - Germany 18 Feb 2004,11 Nov 1983,FC Bayern Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/196748.png
Germany,GER,Per MERTESACKER,Defender,104,4,198,Iran - Germany 09 Oct 2004,29 Sep 1984,Arsenal FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/207888.png
Germany,GER,Toni KROOS,Midfielder,51,7,182,Germany - Argentina 03 Mar 2010,04 Jan 1990,FC Bayern Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/275162.png
Germany,GER,Mario GOETZE,Forward,35,11,176,Sweden - Germany 17 Nov 2010,03 Jun 1992,FC Bayern Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/309316.png
Germany,GER,Jerome BOATENG,Defender,46,0,192,Russia - Germany 10 Oct 2009,03 Sep 1988,FC Bayern Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/299442.png
Germany,GER,Shkodran MUSTAFI,Defender,4,0,184,Germany - Poland 13 May 2014,17 Apr 1992,UC Sampdoria ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/309308.png
Germany,GER,Roman WEIDENFELLER,Goalkeeper,3,0,188,England - Germany 19 Nov 2013,06 Aug 1980,Borussia Dortmund ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/195223.png
Germany,GER,Christoph KRAMER,Midfielder,5,0,189,Germany - Poland 13 May 2014,19 Feb 1991,Borussia Moenchengladbach ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/380069.png
Greece,GRE,Orestis KARNEZIS,Goalkeeper,23,0,189,Greece - Belgium 29 Feb 2012,11 Jul 1985,Granada CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/228328.png
Greece,GRE,Ioannis MANIATIS,Midfielder,34,0,178,Serbia - Greece 11 Aug 2010,12 Oct 1986,Olympiacos Piraeus FC ,GRE,http://img.fifa.com/images/fwc/2014/players/prt-3/321731.png
Greece,GRE,Georgios TZAVELAS,Defender,13,0,183,Croatia - Greece 07 Sep 2010,26 Nov 1987,PAOK FC ,GRE,http://img.fifa.com/images/fwc/2014/players/prt-3/319298.png
Greece,GRE,Konstantinos MANOLAS,Defender,13,0,186,Greece - Switzerland 06 Feb 2013,14 Jun 1991,Olympiacos Piraeus FC ,GRE,http://img.fifa.com/images/fwc/2014/players/prt-3/323556.png
Greece,GRE,Vangelis MORAS,Defender,19,0,193,Greece - Denmark 11 Feb 2009,26 Aug 1981,Hellas Verona FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/215471.png
Greece,GRE,Alexandros TZIOLIS,Midfielder,49,1,190,Greece - Korea Republic 21 Jan 2006,13 Feb 1985,Kayserispor ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/228351.png
Greece,GRE,Georgios SAMARAS,Forward,77,9,192,Greece - Belarus 28 Feb 2006,21 Feb 1985,Celtic FC ,SCO,http://img.fifa.com/images/fwc/2014/players/prt-3/297112.png
Greece,GRE,Panagiotis KONE,Midfielder,19,1,184,Austria - Greece 17 Nov 2010,26 Jul 1987,Bologna FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/360109.png
Greece,GRE,Konstantinos MITROGLOU,Forward,35,8,188,Greece - Ukraine 14 Nov 2009,12 Mar 1988,Fulham FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/318768.png
Greece,GRE,Georgios KARAGOUNIS,Midfielder,139,10,176,Greece - El Salvador 20 Aug 1999,06 Mar 1977,Fulham FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/168832.png
Greece,GRE,Loukas VYNTRA,Defender,50,0,184,Greece - Ukraine 08 Jun 2005,05 Feb 1981,Levante UD ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/215484.png
Greece,GRE,Panagiotis GLYKOS,Goalkeeper,3,0,190,Greece - Korea Republic 05 Mar 2014,10 Oct 1986,PAOK FC ,GRE,http://img.fifa.com/images/fwc/2014/players/prt-3/360111.png
Greece,GRE,Stefanos KAPINO,Goalkeeper,2,0,196,Greece - Romania 15 Nov 2011,18 Mar 1994,Panathinaikos FC ,GRE,http://img.fifa.com/images/fwc/2014/players/prt-3/362645.png
Greece,GRE,Dimitrios SALPINGIDIS,Forward,80,13,171,Belgium - Greece 17 Aug 2005,18 Aug 1981,PAOK FC ,GRE,http://img.fifa.com/images/fwc/2014/players/prt-3/215513.png
Greece,GRE,Vasileios TOROSIDIS,Defender,70,7,185,Greece - Turkey 24 Mar 2007,10 Jun 1985,AS Roma ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/228336.png
Greece,GRE,Lazaros CHRISTODOULOPOULOS,Midfielder,21,1,182,-,19 Dec 1986,Bologna FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/299086.png
Greece,GRE,Theofanis GEKAS,Forward,76,24,179,Greece - Albania 30 Mar 2005,23 May 1980,Konyaspor ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/230517.png
Greece,GRE,Ioannis FETFATZIDIS,Forward,21,3,164,Greece - Latvia 08 Oct 2010,21 Dec 1990,Genoa CFC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/358024.png
Greece,GRE,Sokratis PAPASTATHOPOULOS,Defender,51,1,186,Greece - Finland 06 Feb 2008,09 Jun 1988,Borussia Dortmund ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/299090.png
Greece,GRE,Jose CHOLEVAS,Defender,26,1,184,Greece - Russia 11 Nov 2011,27 Jun 1984,Olympiacos Piraeus FC ,GRE,http://img.fifa.com/images/fwc/2014/players/prt-3/358022.png
Greece,GRE,Konstantinos KATSOURANIS,Midfielder,114,10,183,Sweden - Greece 20 Aug 2003,21 Jun 1979,PAOK FC ,GRE,http://img.fifa.com/images/fwc/2014/players/prt-3/214887.png
Greece,GRE,Andreas SAMARIS,Midfielder,7,1,190,Greece - Liechtenstein 15 Oct 2013,13 Jun 1989,Olympiacos Piraeus FC ,GRE,http://img.fifa.com/images/fwc/2014/players/prt-3/362649.png
Greece,GRE,Panagiotis TACHTSIDIS,Midfielder,6,0,194,Republic of Ireland - Greece 14 Nov 2012,15 Feb 1991,Torino FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/319413.png
Italy,ITA,Gianluigi BUFFON,Goalkeeper,142,0,190,Russia - Italy 29 Oct 1997,28 Jan 1978,Juventus FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/159304.png
Italy,ITA,Mattia DE SCIGLIO,Defender,12,0,179,Italy - Brazil 21 Mar 2013,20 Oct 1992,AC Milan ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/359223.png
Italy,ITA,Giorgio CHIELLINI,Defender,71,4,192,Italy - Finland 17 Nov 2004,14 Aug 1984,Juventus FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/215274.png
Italy,ITA,Matteo DARMIAN,Defender,4,0,182,Italy - Republic of Ireland 31 May 2014,02 Dec 1989,Torino FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/288824.png
Italy,ITA,Thiago MOTTA,Midfielder,25,1,187,Germany - Italy 09 Feb 2011,28 Aug 1982,Paris Saint-Germain FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/175689.png
Italy,ITA,Antonio CANDREVA,Midfielder,22,0,180,Italy - Netherlands 14 Nov 2009,28 Feb 1987,SS Lazio ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/298662.png
Italy,ITA,Ignazio ABATE,Defender,21,1,180,Poland - Italy 11 Nov 2011,12 Nov 1986,AC Milan ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/228936.png
Italy,ITA,Claudio MARCHISIO,Midfielder,47,4,179,Switzerland - Italy 12 Aug 2009,19 Jan 1986,Juventus FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/298664.png
Italy,ITA,Mario BALOTELLI,Forward,33,13,189,Italy - Cte d'Ivoire 10 Aug 2010,12 Aug 1990,AC Milan ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/301059.png
Italy,ITA,Antonio CASSANO,Forward,39,10,175,Poland - Italy 12 Nov 2003,12 Jul 1982,Parma FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/177927.png
Italy,ITA,Alessio CERCI,Forward,13,0,177,Italy - Brazil 21 Mar 2013,23 Jul 1987,Torino FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/228942.png
Italy,ITA,Salvatore SIRIGU,Goalkeeper,9,0,190,Italy - Cte d'Ivoire 10 Aug 2010,12 Jan 1987,Paris Saint-Germain FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/298655.png
Italy,ITA,Mattia PERIN,Goalkeeper,0,0,188,-,10 Nov 1992,Genoa CFC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/309420.png
Italy,ITA,Alberto AQUILANI,Midfielder,35,5,184,Italy - Turkey 15 Nov 2006,07 Jul 1984,ACF Fiorentina ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/215623.png
Italy,ITA,Andrea BARZAGLI,Defender,50,0,186,Italy - Finland 17 Nov 2004,08 May 1981,Juventus FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/214377.png
Italy,ITA,Daniele DE ROSSI,Midfielder,97,15,182,Italy - Norway 04 Sep 2004,24 Jul 1983,AS Roma ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/209119.png
Italy,ITA,Ciro IMMOBILE,Forward,4,0,184,Spain - Italy 05 Mar 2014,20 Feb 1990,Torino FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/306780.png
Italy,ITA,Marco PAROLO,Midfielder,6,0,186,Ukraine - Italy 29 Mar 2011,25 Jan 1985,Parma FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/378836.png
Italy,ITA,Leonardo BONUCCI,Defender,38,2,190,Italy - Cameroon 03 Mar 2010,01 May 1987,Juventus FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/321641.png
Italy,ITA,Gabriel PALETTA,Defender,3,0,187,Spain - Italy 05 Mar 2014,15 Feb 1986,Parma FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/233333.png
Italy,ITA,Andrea PIRLO,Midfielder,112,13,177,Azerbaijan - Italy 07 Sep 2002,19 May 1979,Juventus FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/177876.png
Italy,ITA,Lorenzo INSIGNE,Forward,6,1,163,Italy - Malta 11 Sep 2012,04 Jun 1991,SSC Napoli ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/359235.png
Italy,ITA,Marco VERRATTI,Midfielder,8,1,168,England - Italy 15 Aug 2012,05 Nov 1992,Paris Saint-Germain FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/359217.png
Netherlands,NED,Jasper CILLESSEN,Goalkeeper,15,0,187,Indonesia - Netherlands 07 Jun 2013,22 Apr 1989,AFC Ajax ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/358738.png
Netherlands,NED,Ron VLAAR,Defender,31,1,190,Czech Republic - Netherlands 08 Oct 2005,16 Feb 1985,Aston Villa FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/216715.png
Netherlands,NED,Stefan DE VRIJ,Defender,19,1,190,Belgium - Netherlands 15 Aug 2012,05 Feb 1992,Feyenoord Rotterdam ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/313021.png
Netherlands,NED,Bruno MARTINS INDI,Defender,22,2,186,Belgium - Netherlands 15 Aug 2012,08 Feb 1992,Feyenoord Rotterdam ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/358736.png
Netherlands,NED,Daley BLIND,Defender,19,1,180,Netherlands - Italy 06 Feb 2013,09 Mar 1990,AFC Ajax ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/319432.png
Netherlands,NED,Nigel DE JONG,Midfielder,76,1,174,Netherlands - France 31 Mar 2004,30 Nov 1984,AC Milan ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/216964.png
